lanebelopp,inkomst,alder,anstallningsform,syfte,ranta,amorteringstid_manader,skuldsattningsgrad,manadskostnad,betalningsborda,tidigare_anmarkning,default
494000,1041000,18,Fast anställd,Renovering,10.4,60,0.47,10594,0.122,nej,0
500000,504821,45,Fast anställd,Övrigt,7.16,36,0.99,15475,0.368,nej,0
500000,427983,22,Fast anställd,Bil,7.27,36,1.17,15500,0.435,nej,0
376000,392126,50,Fast anställd,Konsumtion,11.85,60,0.96,8335,0.255,nej,1
500000,867160,31,Fast anställd,Bil,5.29,12,0.58,42870,0.593,nej,0
244000,234674,60,Pensionär,Övrigt,10.9,72,1.04,4632,0.237,nej,1
291000,632442,44,Fast anställd,Renovering,8.71,12,0.46,25409,0.482,nej,0
209000,402034,41,Fast anställd,Konsumtion,10.9,72,0.52,3967,0.118,nej,0
153000,416188,28,Fast anställd,Konsumtion,15.49,12,0.37,13845,0.399,ja,1
415000,701227,25,Fast anställd,Konsumtion,7.31,72,0.59,7137,0.122,nej,0
500000,365851,36,Egenföretagare,Bil,7.75,12,1.37,43436,1.425,nej,0
500000,424353,25,Fast anställd,Renovering,13.17,72,1.18,10082,0.285,nej,0
371000,263867,24,Arbetslös,Konsumtion,17.18,12,1.41,33869,1.54,ja,0
500000,983328,39,Egenföretagare,Övrigt,13.27,24,0.51,23834,0.291,nej,0
500000,612706,28,Fast anställd,Renovering,16.28,72,0.82,10923,0.214,ja,0
243000,388803,42,Fast anställd,Bil,7.1,60,0.62,4823,0.149,nej,0
500000,342729,52,Egenföretagare,Renovering,14.7,60,1.46,11816,0.414,nej,0
493000,460449,36,Egenföretagare,Konsumtion,13.78,36,1.07,16797,0.438,nej,0
500000,519418,39,Egenföretagare,Konsumtion,14.29,12,0.96,44962,1.039,nej,0
484000,269970,58,Egenföretagare,Konsumtion,15.82,24,1.79,23657,1.052,nej,0
500000,629740,26,Fast anställd,Bil,9.66,72,0.79,9177,0.175,nej,0
500000,503797,49,Fast anställd,Renovering,11.38,36,0.99,16459,0.392,nej,0
427000,268203,48,Fast anställd,Konsumtion,9.61,60,1.59,8991,0.402,nej,0
145000,224430,73,Pensionär,Bil,9.86,48,0.65,3668,0.196,nej,0
134000,303626,50,Vikariat,Renovering,8.26,36,0.44,4215,0.167,nej,0
500000,476631,40,Fast anställd,Konsumtion,8.94,60,1.05,10365,0.261,nej,0
500000,947182,32,Fast anställd,Renovering,5.01,48,0.53,11517,0.146,nej,0
161000,531447,48,Fast anställd,Övrigt,9.16,48,0.3,4019,0.091,nej,0
381000,364298,49,Fast anställd,Renovering,12.8,60,1.05,8630,0.284,nej,0
500000,494012,49,Egenföretagare,Bil,13.17,24,1.01,23811,0.578,nej,0
468000,320221,38,Vikariat,Bil,11.02,24,1.46,21817,0.818,nej,1
500000,326905,63,Pensionär,Konsumtion,8.99,60,1.53,10377,0.381,nej,0
500000,599108,39,Fast anställd,Konsumtion,8.15,60,0.83,10174,0.204,nej,0
500000,746559,47,Fast anställd,Konsumtion,7.2,48,0.67,12020,0.193,nej,1
152000,437073,48,Egenföretagare,Bil,13.8,84,0.35,2832,0.078,nej,0
500000,1003977,33,Egenföretagare,Renovering,7.22,60,0.5,9953,0.119,nej,0
317000,497727,41,Vikariat,Renovering,7.11,60,0.64,6293,0.152,nej,0
180000,310605,24,Egenföretagare,Övrigt,13.64,24,0.58,8612,0.333,nej,0
500000,1059650,47,Fast anställd,Bil,10.02,36,0.47,16138,0.183,nej,0
500000,548228,30,Fast anställd,Konsumtion,9.61,36,0.91,16042,0.351,nej,0
500000,365019,45,Fast anställd,Övrigt,10.02,12,1.37,43963,1.445,nej,0
317000,871978,26,Fast anställd,Renovering,14.53,48,0.36,8747,0.12,nej,0
500000,1011780,48,Fast anställd,Konsumtion,9.64,36,0.49,16049,0.19,nej,1
244000,483323,41,Fast anställd,Bil,10.23,48,0.5,6215,0.154,nej,0
171000,303677,30,Vikariat,Bil,15.51,48,0.56,4803,0.19,nej,0
467000,460316,44,Fast anställd,Renovering,9.34,12,1.01,40914,1.067,nej,0
500000,627912,32,Fast anställd,Övrigt,13.82,12,0.8,44851,0.857,nej,1
447000,435111,72,Pensionär,Bil,4.23,36,1.03,13243,0.365,nej,1
500000,596998,35,Fast anställd,Renovering,6.6,48,0.84,11881,0.239,nej,0
500000,506663,20,Fast anställd,Renovering,7.83,36,0.99,15629,0.37,nej,0
500000,935658,28,Egenföretagare,Renovering,16.87,72,0.53,11087,0.142,ja,0
245000,438233,33,Fast anställd,Övrigt,13.93,24,0.56,11755,0.322,nej,0
500000,701391,51,Fast anställd,Bil,8.02,24,0.71,22618,0.387,nej,0
432000,442049,47,Fast anställd,Övrigt,11.95,24,0.98,20326,0.552,nej,0
500000,568557,54,Fast anställd,Övrigt,15.09,24,0.88,24265,0.512,nej,0
135000,193224,51,Arbetslös,Övrigt,21.89,24,0.7,6996,0.434,ja,1
500000,430229,32,Egenföretagare,Bil,13.17,36,1.16,16888,0.471,ja,1
142000,317398,36,Vikariat,Bil,12.53,48,0.45,3776,0.143,nej,0
500000,443945,65,Pensionär,Konsumtion,10.35,24,1.13,23153,0.626,nej,1
378000,306672,31,Egenföretagare,Bil,10.0,36,1.23,12197,0.477,nej,0
230000,377346,19,Fast anställd,Konsumtion,10.57,36,0.61,7483,0.238,nej,0
500000,560339,67,Pensionär,Renovering,8.32,36,0.89,15742,0.337,nej,0
500000,688483,25,Fast anställd,Övrigt,9.81,36,0.73,16089,0.28,nej,0
170000,134247,37,Egenföretagare,Renovering,7.44,36,1.27,5283,0.472,nej,0
261000,250301,80,Pensionär,Renovering,9.09,72,1.04,4716,0.226,ja,1
431000,259316,32,Fast anställd,Konsumtion,8.78,12,1.66,37648,1.742,nej,1
470000,350549,39,Fast anställd,Renovering,10.3,60,1.34,10056,0.344,nej,1
142000,163002,47,Fast anställd,Renovering,6.68,36,0.87,4364,0.321,nej,0
306000,466052,40,Fast anställd,Renovering,10.82,24,0.66,14236,0.367,nej,0
101000,249953,40,Egenföretagare,Renovering,15.44,60,0.4,2426,0.116,ja,0
165000,301936,65,Pensionär,Bil,11.13,36,0.55,5412,0.215,nej,0
495000,276843,35,Fast anställd,Bil,11.86,36,1.79,16408,0.711,nej,0
458000,503338,28,Fast anställd,Bil,12.86,36,0.91,15401,0.367,nej,0
500000,422852,46,Fast anställd,Bil,11.01,36,1.18,16372,0.465,nej,0
459000,827102,20,Fast anställd,Bil,8.76,48,0.55,11370,0.165,nej,0
500000,801287,47,Fast anställd,Konsumtion,9.97,60,0.62,10616,0.159,nej,0
500000,643624,23,Fast anställd,Renovering,15.32,60,0.78,11979,0.223,nej,0
80000,183202,44,Arbetslös,Renovering,15.35,36,0.44,2787,0.183,nej,0
500000,979583,34,Fast anställd,Övrigt,9.68,48,0.51,12605,0.154,nej,0
476000,283917,25,Fast anställd,Konsumtion,9.12,60,1.68,9909,0.419,nej,0
378000,219305,43,Egenföretagare,Renovering,9.52,48,1.72,9500,0.52,nej,0
500000,474812,47,Fast anställd,Övrigt,6.53,24,1.05,22280,0.563,nej,1
500000,349238,30,Arbetslös,Konsumtion,17.02,48,1.43,14433,0.496,nej,1
241000,188983,42,Arbetslös,Renovering,14.77,48,1.28,6679,0.424,nej,0
289000,458568,18,Fast anställd,Övrigt,6.33,12,0.63,24917,0.652,nej,0
412000,295177,24,Fast anställd,Bil,9.19,48,1.4,10290,0.418,nej,0
500000,680835,50,Fast anställd,Övrigt,12.68,60,0.73,11295,0.199,nej,0
500000,682564,35,Fast anställd,Renovering,8.38,36,0.73,15756,0.277,nej,0
445000,644465,19,Fast anställd,Renovering,7.46,24,0.69,20017,0.373,nej,0
337000,290620,31,Vikariat,Konsumtion,11.25,48,1.16,8751,0.361,nej,1
500000,381800,28,Fast anställd,Renovering,11.15,24,1.31,23339,0.734,nej,1
190000,310956,36,Fast anställd,Renovering,8.39,36,0.61,5988,0.231,nej,0
500000,503508,34,Fast anställd,Konsumtion,8.0,48,0.99,12206,0.291,nej,0
253000,214459,69,Pensionär,Renovering,10.65,36,1.18,8241,0.461,nej,1
394000,323807,37,Fast anställd,Övrigt,6.69,36,1.22,12110,0.449,nej,1
319000,421556,51,Fast anställd,Bil,8.15,60,0.76,6491,0.185,nej,0
219000,412006,42,Fast anställd,Övrigt,9.2,24,0.53,10025,0.292,nej,0
214000,173773,39,Arbetslös,Bil,15.32,12,1.23,19348,1.336,nej,1
500000,575650,49,Fast anställd,Konsumtion,8.43,60,0.87,10241,0.213,nej,0
300000,372378,34,Vikariat,Bil,12.23,12,0.81,26687,0.86,nej,0
284000,383050,25,Egenföretagare,Konsumtion,14.11,36,0.74,9722,0.305,nej,0
427000,521286,50,Fast anställd,Bil,8.23,36,0.82,13426,0.309,nej,0
278000,269476,39,Egenföretagare,Renovering,19.99,36,1.03,10330,0.46,nej,1
500000,507294,39,Fast anställd,Renovering,13.05,24,0.99,23783,0.563,nej,0
500000,381822,31,Vikariat,Renovering,12.0,48,1.31,13167,0.414,nej,0
337000,214043,31,Vikariat,Bil,9.91,36,1.57,10860,0.609,nej,0
500000,692797,46,Fast anställd,Konsumtion,8.11,24,0.72,22639,0.392,nej,0
391000,359151,47,Fast anställd,Renovering,13.65,36,1.09,13297,0.444,nej,0
184000,304703,72,Pensionär,Bil,10.03,48,0.6,4669,0.184,nej,0
500000,734939,45,Fast anställd,Övrigt,5.9,36,0.68,15188,0.248,nej,0
500000,676026,43,Fast anställd,Konsumtion,5.22,24,0.74,21985,0.39,nej,0
500000,494853,39,Fast anställd,Övrigt,9.78,36,1.01,16082,0.39,nej,1
291000,319057,36,Vikariat,Övrigt,11.21,36,0.91,9556,0.359,nej,0
233000,504654,50,Vikariat,Renovering,8.89,24,0.46,10633,0.253,nej,0
346000,619175,34,Fast anställd,Övrigt,5.71,24,0.56,15290,0.296,nej,0
500000,393789,41,Fast anställd,Renovering,4.59,84,1.27,6971,0.212,nej,1
254000,370195,29,Fast anställd,Övrigt,7.6,24,0.69,11441,0.371,nej,0
122000,175373,31,Vikariat,Konsumtion,10.45,12,0.7,10751,0.736,nej,0
500000,516025,35,Fast anställd,Konsumtion,11.23,36,0.97,16424,0.382,nej,0
452000,351883,29,Vikariat,Konsumtion,9.84,12,1.28,39704,1.354,nej,0
343000,727716,45,Fast anställd,Övrigt,12.16,12,0.47,30501,0.503,nej,0
112000,217458,21,Arbetslös,Konsumtion,16.77,12,0.52,10203,0.563,nej,0
500000,779946,38,Fast anställd,Bil,10.78,24,0.64,23253,0.358,nej,0
456000,383050,39,Fast anställd,Renovering,11.95,12,1.19,40504,1.269,nej,0
500000,728215,19,Fast anställd,Konsumtion,6.03,24,0.69,22167,0.365,nej,1
123000,174167,30,Arbetslös,Renovering,12.7,48,0.71,3281,0.226,nej,1
500000,374474,69,Pensionär,Konsumtion,15.5,24,1.34,24362,0.781,nej,0
136000,293441,42,Fast anställd,Konsumtion,4.73,48,0.46,3115,0.127,nej,0
240000,393287,35,Vikariat,Bil,10.44,36,0.61,7794,0.238,nej,0
287000,164005,44,Egenföretagare,Konsumtion,12.0,60,1.75,6384,0.467,nej,0
165000,329885,36,Vikariat,Konsumtion,6.35,48,0.5,3902,0.142,nej,0
500000,570417,38,Fast anställd,Övrigt,7.62,60,0.88,10048,0.211,nej,0
500000,407444,40,Fast anställd,Bil,14.49,36,1.23,17208,0.507,nej,0
138000,338522,47,Fast anställd,Övrigt,9.93,60,0.41,2927,0.104,nej,0
392000,382252,63,Pensionär,Övrigt,8.06,48,1.03,9581,0.301,nej,1
310000,287495,65,Pensionär,Övrigt,10.03,48,1.08,7867,0.328,nej,1
500000,305177,31,Vikariat,Övrigt,12.75,48,1.64,13352,0.525,ja,0
462000,496164,34,Fast anställd,Konsumtion,13.78,36,0.93,15741,0.381,nej,0
500000,1200000,52,Fast anställd,Renovering,7.02,24,0.42,22391,0.224,nej,0
369000,787604,43,Egenföretagare,Konsumtion,9.81,60,0.47,7806,0.119,nej,0
500000,420320,61,Pensionär,Konsumtion,5.77,12,1.19,42980,1.227,nej,0
208000,337953,64,Pensionär,Övrigt,8.76,48,0.62,5152,0.183,nej,0
200000,480817,41,Egenföretagare,Konsumtion,11.5,84,0.42,3477,0.087,nej,0
281000,156587,28,Vikariat,Konsumtion,14.12,24,1.79,13508,1.035,nej,1
271000,385523,30,Fast anställd,Konsumtion,6.96,48,0.7,6484,0.202,nej,0
211000,413246,51,Fast anställd,Bil,14.07,72,0.51,4356,0.126,ja,0
227000,168979,64,Pensionär,Renovering,9.72,36,1.34,7295,0.518,nej,1
370000,241567,47,Vikariat,Konsumtion,5.4,48,1.53,8588,0.427,nej,0
96000,244435,50,Fast anställd,Renovering,7.69,36,0.39,2995,0.147,nej,0
220000,482427,30,Fast anställd,Renovering,7.59,36,0.46,6852,0.17,nej,0
209000,482418,29,Vikariat,Konsumtion,14.28,48,0.43,5741,0.143,nej,0
266000,720262,35,Fast anställd,Konsumtion,14.94,60,0.37,6320,0.105,ja,1
500000,565335,27,Fast anställd,Konsumtion,9.86,72,0.88,9228,0.196,nej,0
412000,348994,39,Fast anställd,Övrigt,4.0,36,1.18,12164,0.418,nej,1
238000,184199,35,Vikariat,Renovering,5.6,60,1.29,4557,0.297,nej,1
207000,195848,41,Vikariat,Bil,13.24,48,1.06,5578,0.342,nej,0
478000,313594,51,Fast anställd,Konsumtion,11.46,24,1.52,22381,0.856,nej,0
317000,283670,46,Egenföretagare,Övrigt,10.41,36,1.12,10290,0.435,nej,0
500000,462354,42,Fast anställd,Konsumtion,9.57,48,1.08,12578,0.326,nej,1
352000,342848,18,Fast anställd,Renovering,9.39,24,1.03,16144,0.565,nej,0
500000,524126,42,Egenföretagare,Konsumtion,16.03,60,0.95,12167,0.279,ja,1
304000,333935,55,Vikariat,Övrigt,13.89,36,0.91,10374,0.373,ja,0
283000,297498,49,Pensionär,Bil,11.54,36,0.95,9338,0.377,nej,0
500000,539872,44,Vikariat,Renovering,13.07,60,0.93,11394,0.253,nej,0
110000,239646,36,Vikariat,Konsumtion,10.86,24,0.46,5120,0.256,ja,1
500000,566111,29,Fast anställd,Renovering,6.51,12,0.88,43151,0.915,nej,0
500000,486557,46,Fast anställd,Bil,7.51,24,1.03,22502,0.555,nej,0
500000,435077,55,Fast anställd,Renovering,9.62,24,1.15,22985,0.634,nej,0
500000,666529,45,Fast anställd,Renovering,10.39,84,0.75,8402,0.151,nej,0
240000,247645,31,Arbetslös,Bil,15.82,48,0.97,6780,0.329,nej,1
242000,351065,28,Fast anställd,Renovering,11.93,48,0.69,6364,0.218,nej,0
467000,280787,68,Pensionär,Renovering,10.41,60,1.66,10017,0.428,nej,0
341000,399681,46,Vikariat,Övrigt,10.7,24,0.85,15846,0.476,nej,0
500000,385962,34,Egenföretagare,Renovering,19.68,36,1.3,18500,0.575,ja,1
208000,600043,35,Fast anställd,Konsumtion,9.51,24,0.35,9551,0.191,nej,0
259000,399679,66,Vikariat,Övrigt,12.92,12,0.65,23123,0.694,nej,0
500000,928565,48,Fast anställd,Renovering,10.3,36,0.54,16204,0.209,nej,0
374000,286187,49,Fast anställd,Renovering,9.07,72,1.31,6755,0.283,nej,0
324000,416142,23,Egenföretagare,Konsumtion,15.25,36,0.78,11271,0.325,ja,1
128000,355764,30,Fast anställd,Bil,12.8,36,0.36,4301,0.145,nej,0
338000,604065,38,Fast anställd,Bil,9.27,60,0.56,7061,0.14,nej,0
141000,205662,27,Vikariat,Övrigt,10.42,24,0.69,6534,0.381,nej,0
311000,551948,54,Fast anställd,Renovering,7.66,36,0.56,9697,0.211,nej,0
102000,169818,49,Arbetslös,Konsumtion,14.96,24,0.6,4944,0.349,nej,1
240000,165455,29,Arbetslös,Övrigt,11.45,60,1.45,5272,0.382,nej,1
176000,192153,78,Pensionär,Renovering,10.33,12,0.92,15500,0.968,nej,1
377000,415493,37,Fast anställd,Renovering,9.94,36,0.91,12154,0.351,nej,1
500000,714669,63,Fast anställd,Konsumtion,8.43,24,0.7,22712,0.381,nej,0
191000,197541,36,Arbetslös,Övrigt,15.21,24,0.97,9280,0.564,ja,0
500000,609069,43,Fast anställd,Renovering,6.93,24,0.82,22370,0.441,nej,0
225000,301390,48,Arbetslös,Bil,11.32,36,0.75,7400,0.295,nej,0
191000,212338,47,Arbetslös,Renovering,13.13,72,0.9,3847,0.217,ja,1
224000,250787,71,Pensionär,Bil,10.64,48,0.89,5750,0.275,nej,0
500000,575813,36,Fast anställd,Renovering,14.82,60,0.87,11848,0.247,nej,0
475000,404131,43,Fast anställd,Bil,11.1,24,1.18,22161,0.658,ja,0
171000,254911,63,Pensionär,Konsumtion,8.54,60,0.67,3512,0.165,nej,0
428000,287229,39,Fast anställd,Övrigt,10.64,36,1.49,13939,0.582,ja,1
500000,676163,26,Fast anställd,Övrigt,11.64,84,0.74,8730,0.155,nej,0
98000,316443,20,Vikariat,Övrigt,11.36,48,0.31,2550,0.097,nej,1
246000,208048,35,Arbetslös,Renovering,14.69,36,1.18,8490,0.49,ja,1
377000,252057,50,Vikariat,Renovering,7.19,72,1.5,6462,0.308,nej,0
285000,421924,47,Vikariat,Konsumtion,8.38,36,0.68,8981,0.255,nej,0
133000,374490,37,Fast anställd,Konsumtion,9.94,48,0.36,3369,0.108,nej,0
500000,344690,55,Vikariat,Konsumtion,11.32,36,1.45,16445,0.573,nej,0
436000,247571,29,Arbetslös,Renovering,14.92,48,1.76,12117,0.587,nej,1
267000,644845,18,Fast anställd,Bil,11.16,24,0.41,12464,0.232,nej,0
500000,485186,18,Fast anställd,Renovering,6.44,36,1.03,15311,0.379,nej,0
146000,174479,60,Pensionär,Bil,10.26,36,0.84,4729,0.325,nej,0
500000,1200000,46,Egenföretagare,Renovering,11.63,60,0.42,11029,0.11,nej,0
500000,667337,31,Vikariat,Övrigt,11.69,72,0.75,9695,0.174,ja,0
500000,634972,42,Egenföretagare,Renovering,12.65,48,0.79,13327,0.252,ja,1
500000,375637,54,Fast anställd,Övrigt,11.23,60,1.33,10929,0.349,nej,0
160000,469884,26,Fast anställd,Övrigt,6.65,36,0.34,4915,0.126,nej,0
134000,337152,42,Egenföretagare,Konsumtion,20.35,24,0.4,6843,0.244,ja,0
500000,832283,43,Egenföretagare,Övrigt,12.47,48,0.6,13283,0.192,nej,0
158000,320857,62,Pensionär,Renovering,9.36,48,0.49,3959,0.148,nej,0
232000,234392,76,Pensionär,Konsumtion,8.87,24,0.99,10585,0.542,nej,0
500000,414668,35,Fast anställd,Övrigt,11.47,72,1.21,9638,0.279,nej,0
500000,723905,34,Fast anställd,Renovering,8.47,36,0.69,15777,0.262,nej,0
500000,984657,59,Egenföretagare,Konsumtion,9.96,60,0.51,10614,0.129,nej,0
500000,618415,43,Vikariat,Bil,14.94,24,0.81,24229,0.47,nej,0
500000,645974,47,Egenföretagare,Bil,11.03,24,0.77,23311,0.433,nej,0
230000,389916,51,Egenföretagare,Övrigt,12.58,48,0.59,6122,0.188,nej,0
82000,120000,64,Pensionär,Konsumtion,7.6,24,0.68,3694,0.369,nej,0
500000,542533,50,Fast anställd,Renovering,10.15,72,0.92,9301,0.206,nej,0
500000,488629,32,Fast anställd,Övrigt,10.95,48,1.02,12911,0.317,nej,0
500000,513494,32,Fast anställd,Renovering,13.71,48,0.97,13591,0.318,nej,0
500000,369115,35,Vikariat,Övrigt,8.68,48,1.35,12367,0.402,nej,1
304000,307370,31,Fast anställd,Övrigt,5.88,36,0.99,9232,0.36,nej,1
500000,594272,46,Fast anställd,Övrigt,8.83,60,0.84,10338,0.209,nej,0
500000,610037,40,Fast anställd,Konsumtion,7.96,12,0.82,43485,0.855,nej,1
280000,620833,33,Fast anställd,Konsumtion,9.46,36,0.45,8964,0.173,nej,0
449000,504489,44,Vikariat,Konsumtion,11.8,60,0.89,9942,0.236,nej,0
324000,604053,35,Fast anställd,Bil,15.16,12,0.54,29268,0.581,nej,0
375000,423576,34,Fast anställd,Bil,8.37,24,0.89,17024,0.482,nej,1
216000,290322,68,Pensionär,Bil,4.0,72,0.74,3379,0.14,nej,0
500000,504787,42,Fast anställd,Konsumtion,8.91,72,0.99,8990,0.214,nej,0
427000,507724,41,Fast anställd,Konsumtion,10.38,36,0.84,13854,0.327,nej,0
500000,693409,34,Fast anställd,Konsumtion,7.08,60,0.72,9919,0.172,nej,0
500000,610378,46,Egenföretagare,Konsumtion,12.41,48,0.82,13268,0.261,nej,0
500000,1011626,35,Fast anställd,Konsumtion,9.84,36,0.49,16096,0.191,nej,0
342000,784078,31,Vikariat,Konsumtion,11.98,60,0.44,7604,0.116,nej,0
500000,502764,23,Fast anställd,Renovering,14.27,48,0.99,13731,0.328,ja,1
167000,127665,47,Fast anställd,Bil,9.29,12,1.31,14627,1.375,nej,1
500000,753806,38,Fast anställd,Bil,10.87,60,0.66,10839,0.173,nej,0
346000,404686,40,Fast anställd,Konsumtion,5.0,24,0.85,15180,0.45,nej,0
207000,273615,48,Vikariat,Renovering,8.54,48,0.76,5106,0.224,nej,0
202000,362499,33,Egenföretagare,Konsumtion,10.19,60,0.56,4311,0.143,nej,1
124000,177786,21,Arbetslös,Renovering,11.61,60,0.7,2734,0.185,nej,0
500000,605793,38,Fast anställd,Bil,9.52,72,0.83,9142,0.181,nej,0
440000,283281,41,Fast anställd,Konsumtion,8.64,72,1.55,7853,0.333,nej,1
187000,258109,35,Egenföretagare,Renovering,14.0,48,0.72,5110,0.238,ja,1
295000,551339,52,Fast anställd,Konsumtion,11.71,48,0.54,7727,0.168,nej,0
430000,608060,18,Fast anställd,Övrigt,9.71,12,0.71,37746,0.745,nej,0
276000,612031,49,Fast anställd,Konsumtion,6.79,12,0.45,23855,0.468,nej,1
500000,371215,45,Fast anställd,Konsumtion,7.99,36,1.35,15666,0.506,nej,1
250000,155660,39,Arbetslös,Konsumtion,15.08,60,1.61,5958,0.459,nej,1
194000,254742,47,Pensionär,Renovering,10.0,48,0.76,4920,0.232,nej,0
264000,393940,50,Vikariat,Konsumtion,13.28,24,0.67,12586,0.383,nej,0
500000,822346,27,Fast anställd,Bil,11.62,24,0.61,23448,0.342,nej,0
72000,238803,32,Fast anställd,Renovering,8.53,36,0.3,2274,0.114,nej,0
500000,452591,36,Fast anställd,Renovering,13.09,72,1.1,10061,0.267,nej,0
500000,306680,42,Fast anställd,Konsumtion,13.29,12,1.63,44727,1.75,nej,1
291000,274227,44,Fast anställd,Konsumtion,5.04,36,1.06,8727,0.382,nej,1
218000,717464,46,Egenföretagare,Övrigt,15.01,12,0.3,19677,0.329,ja,0
275000,438282,46,Vikariat,Bil,10.06,24,0.63,12697,0.348,nej,0
500000,572233,40,Fast anställd,Bil,8.85,72,0.87,8976,0.188,nej,1
81000,250260,39,Arbetslös,Konsumtion,12.41,24,0.32,3828,0.184,nej,0
