lanebelopp,kontantinsats_procent,inkomst,skuldkvot,bostadsort,ranta,tidigare_betalningsanmarkning,default
2301812,11.8,350091,6.57,Goteborg,2.49,nej,1
5000000,17.1,1156796,4.32,Stockholm,2.8,nej,0
5000000,12.7,1200000,4.17,Stockholm,3.51,nej,1
3295925,12.5,589358,5.59,Stockholm,2.29,nej,0
2002930,15.8,361688,5.54,Malmo,3.01,nej,0
4339739,12.0,557406,7.79,Stockholm,4.68,ja,1
3741412,19.4,650757,5.75,Goteborg,3.24,nej,1
2634345,15.2,667398,3.95,Ovrigt,3.28,nej,0
2707922,18.0,750274,3.61,Stockholm,3.16,nej,0
2825274,18.0,509247,5.55,Goteborg,3.79,nej,1
3085141,13.2,728836,4.23,Ovrigt,3.82,ja,1
3572120,14.8,526952,6.78,Stockholm,3.07,nej,0
3442680,15.2,901998,3.82,Stockholm,3.29,nej,0
3312669,12.0,532200,6.22,Stockholm,4.0,nej,0
3260841,14.3,709566,4.6,Stockholm,3.44,nej,0
1678102,13.5,382534,4.39,Ovrigt,3.23,nej,0
1111813,16.9,391468,2.84,Ovrigt,3.91,nej,0
1861771,13.6,380425,4.89,Malmo,3.79,ja,1
2058360,15.1,685525,3.0,Ovrigt,2.42,ja,1
645527,13.3,300000,2.15,Ovrigt,3.47,nej,0
2723398,15.6,444145,6.13,Stockholm,3.46,nej,1
2302166,15.5,935089,2.46,Ovrigt,2.83,nej,0
3823320,17.3,722981,5.29,Goteborg,3.04,nej,0
1463606,17.0,300000,4.88,Ovrigt,4.47,ja,1
1599231,18.9,319303,5.01,Ovrigt,3.47,nej,0
1297035,18.6,300000,4.32,Stockholm,4.08,nej,0
2830280,23.0,408286,6.93,Stockholm,3.36,nej,0
1457600,13.0,300000,4.86,Stockholm,3.11,nej,0
2877557,16.1,462871,6.22,Goteborg,4.02,ja,1
1340334,15.2,300000,4.47,Ovrigt,4.19,ja,1
961462,15.8,410020,2.34,Ovrigt,4.05,ja,0
1590685,17.1,311748,5.1,Stockholm,3.06,nej,0
2046317,12.9,505429,4.05,Goteborg,2.86,nej,1
2390981,13.8,414170,5.77,Goteborg,2.88,nej,0
5000000,11.0,1089011,4.59,Stockholm,3.51,nej,1
5000000,16.7,1050254,4.76,Stockholm,3.59,nej,0
4898349,12.1,817607,5.99,Stockholm,2.0,nej,1
1766094,13.1,351285,5.03,Ovrigt,2.76,nej,0
5000000,12.0,1200000,4.17,Stockholm,2.25,nej,1
1318992,17.0,300000,4.4,Goteborg,3.51,ja,1
1283293,17.4,300000,4.28,Ovrigt,2.84,nej,1
2810210,12.0,472827,5.94,Goteborg,3.65,ja,1
4732956,10.2,986200,4.8,Ovrigt,3.31,nej,0
859361,17.3,369189,2.33,Ovrigt,4.48,nej,0
2566518,20.8,554988,4.62,Stockholm,3.42,nej,1
1194865,17.6,300000,3.98,Goteborg,3.58,nej,0
4556918,19.2,871849,5.23,Stockholm,2.35,nej,1
3515142,13.7,874380,4.02,Stockholm,3.0,nej,0
4509889,17.4,818828,5.51,Stockholm,2.55,nej,0
1658365,19.1,343970,4.82,Malmo,4.47,ja,0
1719202,11.6,368544,4.66,Goteborg,3.23,nej,1
2235596,23.1,356023,6.28,Stockholm,3.0,nej,0
2193799,14.8,617570,3.55,Stockholm,4.68,ja,0
1419318,13.6,300000,4.73,Ovrigt,3.04,nej,0
2805148,18.2,372888,7.52,Stockholm,4.0,nej,1
3055567,12.0,504096,6.06,Stockholm,3.99,nej,1
2469948,14.4,402052,6.14,Goteborg,2.82,nej,1
812196,13.6,322806,2.52,Ovrigt,4.29,ja,0
4950317,12.1,719691,6.88,Stockholm,3.27,nej,1
1331983,19.7,456625,2.92,Malmo,2.96,nej,0
1191064,13.3,356731,3.34,Ovrigt,3.44,nej,0
3035018,17.1,642553,4.72,Stockholm,2.25,nej,0
1160140,15.8,300000,3.87,Ovrigt,2.88,nej,0
1994414,21.4,509972,3.91,Goteborg,3.45,nej,0
2222827,17.8,469883,4.73,Malmo,3.02,nej,0
1135756,12.2,300000,3.79,Malmo,3.85,nej,1
4415599,13.6,728161,6.06,Goteborg,2.96,nej,0
2574849,12.1,419755,6.13,Stockholm,3.27,nej,0
1147789,22.6,415037,2.77,Ovrigt,3.13,nej,0
4547449,17.1,951471,4.78,Stockholm,2.28,nej,0
5000000,16.5,864814,5.78,Stockholm,3.44,nej,0
3032400,11.8,605453,5.01,Stockholm,3.39,nej,0
1674412,13.8,382697,4.38,Malmo,2.04,nej,1
3083641,11.7,646290,4.77,Malmo,2.0,nej,1
3780051,17.1,782209,4.83,Stockholm,2.93,nej,1
1482078,13.4,381800,3.88,Goteborg,3.94,nej,0
2351903,15.0,434539,5.41,Stockholm,4.83,nej,1
975625,16.6,300000,3.25,Malmo,2.11,nej,0
2885573,15.5,635147,4.54,Stockholm,4.18,nej,1
1163042,15.8,428018,2.72,Malmo,3.9,nej,0
3019615,12.5,770254,3.92,Goteborg,2.85,nej,0
1422969,16.8,462139,3.08,Ovrigt,4.33,nej,0
5000000,11.4,1018347,4.91,Stockholm,3.48,nej,0
2680803,14.1,451826,5.93,Stockholm,3.06,nej,0
5000000,11.0,941528,5.31,Stockholm,2.13,nej,0
732189,17.4,323978,2.26,Ovrigt,3.26,nej,0
1334186,15.1,546362,2.44,Ovrigt,3.71,ja,1
2317779,17.1,333199,6.96,Stockholm,4.54,nej,1
2275859,15.4,486043,4.68,Malmo,2.63,nej,0
807951,13.5,300000,2.69,Ovrigt,2.67,nej,0
1557223,12.1,397577,3.92,Malmo,3.27,ja,0
2812886,20.8,583116,4.82,Goteborg,4.79,nej,0
3436879,20.5,484858,7.09,Stockholm,3.45,ja,1
1382864,21.5,392316,3.52,Stockholm,3.98,nej,0
2190165,11.0,561545,3.9,Ovrigt,2.27,nej,0
1635495,15.8,384083,4.26,Ovrigt,3.46,nej,0
2154241,17.8,363731,5.92,Malmo,3.26,nej,0
4203991,12.0,607287,6.92,Stockholm,2.78,nej,0
5000000,15.6,1200000,4.17,Stockholm,3.63,nej,0
2689913,14.8,635013,4.24,Ovrigt,2.72,nej,1
2801504,13.3,637321,4.4,Ovrigt,2.23,nej,1
2047013,10.9,476497,4.3,Ovrigt,3.01,nej,1
1953232,17.8,427878,4.56,Ovrigt,3.08,ja,1
1698916,14.7,300000,5.66,Malmo,3.36,nej,0
1683119,21.8,455161,3.7,Stockholm,3.03,nej,0
1836341,16.3,492756,3.73,Stockholm,4.14,nej,0
1348286,18.0,300000,4.49,Ovrigt,3.34,ja,1
1014991,13.7,300000,3.38,Malmo,4.1,ja,1
1054909,16.8,300000,3.52,Stockholm,2.5,nej,0
2985006,17.8,588110,5.08,Stockholm,2.94,nej,1
3296110,11.6,613850,5.37,Malmo,2.65,nej,0
3557241,12.4,929786,3.83,Stockholm,3.91,nej,0
4446174,15.2,704972,6.31,Stockholm,2.75,nej,0
919227,18.6,332581,2.76,Goteborg,2.81,nej,0
865224,20.8,300000,2.88,Malmo,3.38,nej,0
1118392,12.3,300000,3.73,Malmo,2.77,nej,0
1305041,12.3,359477,3.63,Stockholm,4.05,nej,0
1392467,16.9,300000,4.64,Ovrigt,4.37,nej,1
4023289,19.6,560228,7.18,Stockholm,2.66,nej,0
2662097,12.3,398050,6.69,Stockholm,3.71,nej,0
1304898,16.0,458442,2.85,Ovrigt,2.69,nej,0
1746233,10.1,403160,4.33,Malmo,2.99,nej,1
1074540,17.7,402004,2.67,Ovrigt,3.61,nej,0
2432466,20.0,698087,3.48,Malmo,3.28,nej,0
1291805,11.3,300000,4.31,Malmo,3.65,ja,1
4656099,17.3,706078,6.59,Stockholm,3.86,nej,0
1514283,16.1,486217,3.11,Goteborg,3.85,nej,0
2404022,15.9,522617,4.6,Stockholm,3.23,nej,0
5000000,14.5,850944,5.88,Stockholm,2.82,nej,0
1935472,12.9,568982,3.4,Ovrigt,3.2,nej,1
2131126,10.9,334838,6.36,Goteborg,2.59,nej,1
1888601,17.1,372181,5.07,Ovrigt,3.67,nej,1
2150302,15.9,495084,4.34,Malmo,3.09,nej,1
1070212,15.1,358899,2.98,Ovrigt,2.54,nej,0
3580149,17.4,617854,5.79,Goteborg,4.0,nej,0
1513753,11.4,495081,3.06,Malmo,3.19,nej,0
3786112,21.2,1017668,3.72,Goteborg,2.75,nej,0
2208719,19.9,323802,6.82,Stockholm,3.89,nej,0
1301763,11.5,381179,3.42,Ovrigt,3.95,nej,0
1730279,15.0,415234,4.17,Stockholm,2.72,ja,1
4724276,23.1,760432,6.21,Stockholm,3.86,nej,0
1519399,18.1,300000,5.06,Malmo,3.29,nej,1
2619602,18.5,685926,3.82,Stockholm,3.78,nej,0
917539,15.3,311134,2.95,Ovrigt,3.16,nej,0
834989,14.9,300000,2.78,Ovrigt,3.43,nej,0
976520,14.9,300000,3.26,Ovrigt,3.02,nej,0
2309516,13.4,405943,5.69,Goteborg,3.8,nej,0
5000000,15.4,921538,5.43,Stockholm,2.8,nej,0
1623244,17.6,396299,4.1,Ovrigt,3.82,nej,1
1743548,12.3,628487,2.77,Goteborg,4.27,ja,0
1984974,16.2,779070,2.55,Ovrigt,3.65,nej,0
1240835,14.6,444854,2.79,Ovrigt,2.59,nej,0
939280,17.9,320129,2.93,Ovrigt,3.45,nej,1
2819391,11.7,719923,3.92,Stockholm,3.99,ja,0
1702794,17.8,393281,4.33,Goteborg,5.0,ja,1
768407,16.8,327168,2.35,Ovrigt,3.62,nej,0
2166344,13.7,325150,6.66,Stockholm,3.27,ja,0
5000000,16.7,865015,5.78,Stockholm,2.82,nej,1
1709787,11.8,379116,4.51,Malmo,3.66,nej,0
1029839,14.1,430558,2.39,Ovrigt,2.88,nej,0
1684587,22.1,300000,5.62,Malmo,2.89,nej,0
3096827,14.4,526696,5.88,Malmo,2.68,nej,0
1836403,13.8,440305,4.17,Stockholm,3.28,nej,1
2076051,16.3,418033,4.97,Malmo,3.33,nej,1
2633004,13.6,568712,4.63,Ovrigt,3.89,ja,1
4675618,15.9,819380,5.71,Stockholm,4.22,nej,0
1936084,15.5,484652,3.99,Goteborg,3.54,nej,0
1064613,15.5,300000,3.55,Ovrigt,4.25,nej,0
4378799,12.4,1200000,3.65,Ovrigt,3.28,nej,0
3470783,16.5,889436,3.9,Malmo,2.76,nej,0
2614341,13.1,534490,4.89,Ovrigt,2.6,nej,0
2030863,14.8,361753,5.61,Goteborg,3.13,nej,0
2481220,12.8,570668,4.35,Stockholm,3.65,nej,0
1245586,15.2,322104,3.87,Ovrigt,3.34,ja,0
2770063,15.4,663671,4.17,Ovrigt,3.71,nej,0
1130236,14.5,444631,2.54,Ovrigt,4.04,nej,0
957394,13.4,300000,3.19,Ovrigt,2.72,nej,0
2525863,12.9,405022,6.24,Goteborg,2.94,ja,1
3777403,10.3,765646,4.93,Goteborg,3.77,nej,0
2103454,16.3,759214,2.77,Ovrigt,3.36,nej,0
2388672,12.8,815317,2.93,Malmo,3.4,nej,0
1986950,17.9,541887,3.67,Ovrigt,3.62,nej,0
1358468,16.7,361837,3.75,Ovrigt,2.28,nej,0
935964,13.7,300000,3.12,Ovrigt,3.46,nej,0
4115053,12.2,672571,6.12,Stockholm,3.31,nej,1
1472805,13.4,488584,3.01,Goteborg,3.48,nej,0
2469752,20.6,631588,3.91,Stockholm,3.6,ja,1
1994443,16.9,452054,4.41,Malmo,3.25,nej,1
1240652,13.9,351334,3.53,Stockholm,2.91,nej,0
3752867,12.3,611067,6.14,Goteborg,3.83,nej,1
2076052,15.2,629629,3.3,Goteborg,3.87,ja,0
4955822,14.0,784604,6.32,Stockholm,2.84,nej,1
2499700,17.9,646049,3.87,Malmo,2.61,nej,0
3854569,11.6,760415,5.07,Stockholm,3.72,nej,0
3411286,15.2,506859,6.73,Stockholm,3.79,nej,0
1405102,20.3,389128,3.61,Ovrigt,4.35,nej,0
2811208,13.8,507093,5.54,Goteborg,3.01,nej,0
3459475,11.3,623484,5.55,Stockholm,2.59,nej,0
3668304,14.0,728896,5.03,Goteborg,3.12,nej,1
2272448,13.8,517863,4.39,Ovrigt,3.37,ja,1
5000000,13.1,1200000,4.17,Stockholm,2.82,nej,0
4977578,14.9,1069377,4.65,Malmo,4.27,ja,1
4217636,15.6,616528,6.84,Stockholm,3.86,nej,0
2270503,17.6,300000,7.57,Stockholm,3.45,nej,1
3368245,15.8,801895,4.2,Goteborg,3.27,nej,1
1958421,16.7,393898,4.97,Goteborg,3.69,nej,0
899615,16.2,321067,2.8,Malmo,3.06,nej,0
1089692,11.7,341335,3.19,Ovrigt,4.07,nej,0
1121923,15.0,334818,3.35,Ovrigt,5.0,ja,0
3726302,16.3,624625,5.97,Goteborg,2.82,nej,0
1787761,17.2,320047,5.59,Stockholm,3.93,nej,0
1289976,20.4,300000,4.3,Ovrigt,3.93,nej,0
2285694,13.7,685061,3.34,Stockholm,4.49,ja,1
2846864,13.6,627298,4.54,Goteborg,3.97,nej,1
5000000,15.5,771904,6.48,Stockholm,3.41,nej,0
1861596,13.5,435907,4.27,Stockholm,3.59,nej,1
665633,12.2,300000,2.22,Ovrigt,3.74,ja,0
1116092,12.6,326879,3.41,Ovrigt,3.28,nej,0
2418030,13.7,486965,4.97,Malmo,3.58,nej,0
3985595,11.0,885750,4.5,Goteborg,3.45,nej,0
1602870,20.2,300000,5.34,Stockholm,2.57,nej,0
3443081,13.9,546728,6.3,Stockholm,3.51,nej,0
1544527,14.1,350434,4.41,Stockholm,3.05,nej,1
1693432,15.3,300000,5.64,Goteborg,2.87,nej,1
1520835,10.9,589354,2.58,Ovrigt,3.78,nej,0
2137192,18.9,550096,3.89,Malmo,2.94,ja,0
4456723,15.5,714810,6.23,Stockholm,3.04,nej,0
2655540,14.8,578625,4.59,Ovrigt,2.91,ja,1
1480203,16.0,330417,4.48,Ovrigt,2.96,nej,0
1870187,14.7,372110,5.03,Malmo,4.64,nej,0
3984287,14.9,1060543,3.76,Malmo,2.74,nej,0
1426910,14.9,443020,3.22,Goteborg,3.11,nej,0
3394991,11.3,801349,4.24,Stockholm,4.04,nej,1
2980176,14.2,490192,6.08,Goteborg,3.46,nej,0
1402668,15.7,300000,4.68,Ovrigt,3.12,nej,0
2273880,17.7,300000,7.58,Stockholm,2.78,nej,0
1703435,18.0,473736,3.6,Stockholm,3.6,nej,0
5000000,12.5,911129,5.49,Stockholm,3.01,nej,0
5000000,14.3,818572,6.11,Stockholm,4.5,nej,1
2446102,10.5,577019,4.24,Ovrigt,3.03,nej,0
1212147,16.6,300000,4.04,Ovrigt,4.21,nej,0
5000000,17.9,933175,5.36,Goteborg,3.73,nej,1
1983419,10.3,405973,4.89,Stockholm,3.72,nej,1
1831852,13.9,532389,3.44,Goteborg,3.11,nej,0
1722554,10.1,486921,3.54,Goteborg,2.92,nej,0
1840846,17.5,557072,3.3,Stockholm,3.04,nej,0
3423299,11.0,835208,4.1,Goteborg,3.83,nej,1
1144403,23.3,368780,3.1,Goteborg,3.51,nej,0
1087563,13.1,300000,3.63,Malmo,2.08,nej,0
2095476,16.9,445966,4.7,Malmo,2.43,nej,0
3725311,11.4,508931,7.32,Stockholm,3.77,ja,1
5000000,14.1,1200000,4.17,Goteborg,3.52,nej,0
1962573,13.2,579895,3.38,Malmo,3.06,nej,0
1355791,16.7,415095,3.27,Goteborg,2.9,nej,0
809817,13.3,300000,2.7,Ovrigt,2.61,nej,0
1769535,14.5,300000,5.9,Malmo,3.75,nej,1
2278733,12.3,396294,5.75,Stockholm,4.01,ja,1
2551436,14.7,625293,4.08,Stockholm,4.21,nej,0
4261749,12.2,783034,5.44,Malmo,2.42,nej,0
4721754,12.3,935349,5.05,Stockholm,3.61,nej,1
2738195,22.5,484870,5.65,Malmo,3.53,nej,0
1020313,13.4,351770,2.9,Ovrigt,3.71,nej,0
1909589,15.7,492635,3.88,Malmo,3.7,nej,0
1865123,11.5,397338,4.69,Goteborg,2.9,nej,0
4947612,12.5,879708,5.62,Malmo,3.09,nej,1
2762771,16.7,453306,6.09,Goteborg,3.3,nej,1
2343424,12.3,472344,4.96,Goteborg,2.6,nej,1
835434,12.7,300000,2.78,Ovrigt,3.82,nej,0
1945674,15.0,452175,4.3,Goteborg,2.83,ja,1
2812312,13.3,559385,5.03,Ovrigt,2.5,nej,0
1179937,13.7,300000,3.93,Ovrigt,2.19,nej,1
3009304,23.3,442285,6.8,Stockholm,3.86,nej,0
4343551,13.4,820020,5.3,Stockholm,3.33,nej,0
1875970,15.9,330822,5.67,Stockholm,3.63,ja,1
4742682,19.7,911749,5.2,Stockholm,3.26,nej,1
3112564,14.8,482696,6.45,Stockholm,3.36,nej,1
2075480,11.5,378727,5.48,Malmo,2.46,nej,1
2117562,15.3,380959,5.56,Stockholm,3.29,nej,0
3777676,11.0,694688,5.44,Stockholm,4.03,nej,0
3359583,10.2,1070834,3.14,Ovrigt,4.14,nej,0
3310944,15.2,816350,4.06,Stockholm,3.71,nej,0
1475778,12.4,300000,4.92,Ovrigt,3.35,nej,0
4409573,19.6,940576,4.69,Stockholm,3.75,nej,1
3626773,22.2,526142,6.89,Stockholm,3.62,nej,0
3836127,22.0,766656,5.0,Malmo,2.53,nej,0
3218292,16.5,610889,5.27,Malmo,2.65,nej,0
1473565,18.7,300000,4.91,Ovrigt,3.58,nej,1
1193858,11.4,300000,3.98,Ovrigt,2.8,nej,0
2801372,11.6,584057,4.8,Ovrigt,2.58,nej,0
2546439,15.0,634544,4.01,Stockholm,3.97,nej,0
2419420,13.1,396526,6.1,Stockholm,3.24,nej,0
1374050,15.5,310694,4.42,Ovrigt,3.16,nej,1
879939,15.3,300000,2.93,Ovrigt,2.48,nej,0
1672660,19.9,386408,4.33,Ovrigt,2.93,nej,0
5000000,15.2,1183842,4.22,Goteborg,2.99,nej,0
4014312,11.1,674666,5.95,Goteborg,2.66,nej,0
2937932,17.4,961420,3.06,Ovrigt,2.47,nej,0
5000000,12.0,849972,5.88,Stockholm,4.25,nej,0
1829594,17.3,603796,3.03,Ovrigt,4.05,nej,0
3812248,16.2,881721,4.32,Ovrigt,3.14,nej,0
2577077,17.8,568584,4.53,Goteborg,2.4,nej,0
1449566,16.7,371427,3.9,Ovrigt,2.16,nej,0
2034243,20.2,605047,3.36,Ovrigt,2.93,nej,0
4259148,11.2,1068253,3.99,Stockholm,2.0,nej,0
877052,12.6,330385,2.65,Ovrigt,2.93,nej,0
1116899,17.8,366360,3.05,Goteborg,2.37,ja,0
1677366,12.2,423175,3.96,Ovrigt,3.14,nej,0
5000000,11.9,832842,6.0,Stockholm,3.32,nej,1
1204725,16.2,550860,2.19,Ovrigt,3.89,ja,0
901506,15.5,300000,3.01,Goteborg,4.5,nej,0
5000000,18.3,1200000,4.17,Stockholm,3.58,ja,1
1338050,12.1,309754,4.32,Ovrigt,4.24,nej,0
2131053,17.8,537118,3.97,Stockholm,4.05,ja,0
1867110,17.6,416207,4.49,Stockholm,4.41,nej,0
3316335,13.7,1178003,2.82,Ovrigt,2.15,nej,0
1460709,12.0,441012,3.31,Ovrigt,2.97,ja,1
1034814,20.2,314773,3.29,Malmo,3.03,nej,0
2333955,12.9,625039,3.73,Malmo,4.16,nej,0
3694412,14.5,665074,5.55,Goteborg,3.06,nej,0
3340634,11.8,553994,6.03,Stockholm,3.21,ja,1
3025368,14.4,835881,3.62,Stockholm,3.56,nej,0
1504924,14.7,318024,4.73,Malmo,3.74,nej,0
1164931,13.1,328677,3.54,Ovrigt,2.74,nej,0
1471599,15.8,300000,4.91,Ovrigt,2.79,nej,1
895704,13.7,300000,2.99,Ovrigt,4.22,nej,0
5000000,15.6,1200000,4.17,Stockholm,3.95,nej,0
5000000,20.6,942764,5.3,Goteborg,4.11,nej,0
2610555,11.6,613119,4.26,Stockholm,3.76,nej,0
5000000,14.7,950907,5.26,Goteborg,3.28,ja,1
2128462,12.9,458616,4.64,Goteborg,3.18,nej,1
1505235,16.5,363173,4.14,Ovrigt,3.2,ja,1
1656169,11.7,500120,3.31,Goteborg,3.79,nej,0
2512653,20.5,568087,4.42,Stockholm,2.87,nej,0
3242044,11.9,547940,5.92,Stockholm,2.17,nej,0
1944221,13.0,632451,3.07,Ovrigt,3.58,ja,0
1996128,13.5,469796,4.25,Malmo,3.88,nej,0
3932272,13.8,794122,4.95,Stockholm,2.37,nej,1
5000000,12.0,902164,5.54,Stockholm,3.12,nej,1
1671161,14.8,467555,3.57,Ovrigt,3.63,ja,0
1325072,19.5,405100,3.27,Stockholm,3.79,nej,0
1217340,17.3,300000,4.06,Ovrigt,2.0,nej,1
1436364,18.4,424858,3.38,Ovrigt,3.88,nej,0
2679380,24.8,557655,4.8,Stockholm,2.78,nej,0
2274849,18.1,618440,3.68,Stockholm,3.1,nej,0
1105980,17.9,397749,2.78,Ovrigt,4.24,ja,1
4333827,19.7,1200000,3.61,Goteborg,4.09,nej,0
1905351,10.7,300000,6.35,Goteborg,3.23,nej,1
1023517,11.7,300000,3.41,Ovrigt,3.13,ja,0
1028843,12.9,457234,2.25,Ovrigt,2.88,nej,0
873965,10.7,344355,2.54,Ovrigt,3.9,nej,0
1072109,14.2,454260,2.36,Ovrigt,2.67,nej,0
3098454,12.8,617573,5.02,Goteborg,3.92,ja,1
4091474,15.1,998133,4.1,Stockholm,3.2,nej,0
1082462,16.3,300000,3.61,Ovrigt,3.66,nej,0
1343856,11.9,354092,3.8,Malmo,3.22,nej,0
3392499,17.1,580418,5.84,Goteborg,2.94,nej,1
1677161,18.0,544806,3.08,Ovrigt,2.9,nej,0
5000000,15.0,1200000,4.17,Stockholm,2.89,nej,0
3960645,19.4,716606,5.53,Goteborg,2.37,nej,1
3048362,12.4,583782,5.22,Stockholm,3.92,ja,1
1987428,14.1,342431,5.8,Goteborg,3.33,nej,1
2983387,13.9,476529,6.26,Stockholm,2.32,nej,1
2411266,19.4,471143,5.12,Stockholm,2.96,nej,0
